,Total population,Hispanic or Latino,One race total,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some Other Race,Two or More Races
"Block 1020, Block Group 1, Census Tract 101, San Francisco County, California",93,8,91,68,1,0,19,0,3,2
"Block 1021, Block Group 1, Census Tract 101, San Francisco County, California",24,0,22,14,4,0,4,0,0,2
"Block 1022, Block Group 1, Census Tract 101, San Francisco County, California",0,0,0,0,0,0,0,0,0,0
"Block 1023, Block Group 1, Census Tract 101, San Francisco County, California",1,1,1,0,0,0,0,0,1,0
"Block 1024, Block Group 1, Census Tract 101, San Francisco County, California",0,0,0,0,0,0,0,0,0,0
"Block 1025, Block Group 1, Census Tract 101, San Francisco County, California",0,0,0,0,0,0,0,0,0,0
"Block 1026, Block Group 1, Census Tract 101, San Francisco County, California",0,0,0,0,0,0,0,0,0,0
"Block 1027, Block Group 1, Census Tract 101, San Francisco County, California",1,0,1,1,0,0,0,0,0,0
"Block 2000, Block Group 2, Census Tract 101, San Francisco County, California",1,0,1,1,0,0,0,0,0,0
"Block 2001, Block Group 2, Census Tract 101, San Francisco County, California",0,0,0,0,0,0,0,0,0,0
"Block 2002, Block Group 2, Census Tract 101, San Francisco County, California",410,31,399,158,9,0,224,0,8,11
"Block 2003, Block Group 2, Census Tract 101, San Francisco County, California",158,15,151,103,3,1,39,1,4,7
"Block 2004, Block Group 2, Census Tract 101, San Francisco County, California",264,18,251,123,9,1,116,0,2,13
"Block 2005, Block Group 2, Census Tract 101, San Francisco County, California",79,7,77,49,2,1,21,0,4,2
"Block 2006, Block Group 2, Census Tract 101, San Francisco County, California",599,74,578,75,108,0,323,20,52,21
"Block 2007, Block Group 2, Census Tract 101, San Francisco County, California",430,36,402,71,84,0,233,0,14,28
"Block 2008, Block Group 2, Census Tract 101, San Francisco County, California",19,3,19,16,0,0,1,0,2,0
"Block 2009, Block Group 2, Census Tract 101, San Francisco County, California",38,0,37,32,0,0,4,0,1,1
"Block 2010, Block Group 2, Census Tract 101, San Francisco County, California",281,10,276,207,3,0,62,0,4,5
"Block 2011, Block Group 2, Census Tract 101, San Francisco County, California",61,3,58,50,0,1,6,0,1,3
"Block 2012, Block Group 2, Census Tract 101, San Francisco County, California",43,1,43,28,0,0,15,0,0,0
"Block 2013, Block Group 2, Census Tract 101, San Francisco County, California",93,2,90,80,0,0,10,0,0,3
"Block 2014, Block Group 2, Census Tract 101, San Francisco County, California",85,3,82,75,3,0,3,0,1,3
"Block 2015, Block Group 2, Census Tract 101, San Francisco County, California",44,5,43,32,1,0,9,1,0,1
"Block 2016, Block Group 2, Census Tract 101, San Francisco County, California",0,0,0,0,0,0,0,0,0,0
"Block 2017, Block Group 2, Census Tract 101, San Francisco County, California",244,18,225,163,5,0,54,0,3,19
"Block 2018, Block Group 2, Census Tract 101, San Francisco County, California",131,10,127,93,0,1,32,0,1,4
"Block 2019, Block Group 2, Census Tract 101, San Francisco County, California",0,0,0,0,0,0,0,0,0,0
"Block 1000, Block Group 1, Census Tract 102, San Francisco County, California",0,0,0,0,0,0,0,0,0,0
"Block 1001, Block Group 1, Census Tract 102, San Francisco County, California",0,0,0,0,0,0,0,0,0,0
"Block 1002, Block Group 1, Census Tract 102, San Francisco County, California",0,0,0,0,0,0,0,0,0,0
"Block 1003, Block Group 1, Census Tract 102, San Francisco County, California",0,0,0,0,0,0,0,0,0,0
"Block 1004, Block Group 1, Census Tract 102, San Francisco County, California",0,0,0,0,0,0,0,0,0,0
"Block 1005, Block Group 1, Census Tract 102, San Francisco County, California",0,0,0,0,0,0,0,0,0,0
"Block 1006, Block Group 1, Census Tract 102, San Francisco County, California",2,0,2,2,0,0,0,0,0,0
"Block 1007, Block Group 1, Census Tract 102, San Francisco County, California",1,0,1,0,1,0,0,0,0,0
"Block 1008, Block Group 1, Census Tract 102, San Francisco County, California",103,9,101,82,0,0,18,0,1,2
"Block 1009, Block Group 1, Census Tract 102, San Francisco County, California",0,0,0,0,0,0,0,0,0,0
"Block 1010, Block Group 1, Census Tract 102, San Francisco County, California",83,6,77,65,0,0,12,0,0,6
"Block 1011, Block Group 1, Census Tract 102, San Francisco County, California",173,9,160,134,0,1,23,0,2,13
"Block 1012, Block Group 1, Census Tract 102, San Francisco County, California",161,10,160,140,0,0,18,0,2,1
"Block 1013, Block Group 1, Census Tract 102, San Francisco County, California",98,4,91,83,0,0,8,0,0,7
"Block 1014, Block Group 1, Census Tract 102, San Francisco County, California",0,0,0,0,0,0,0,0,0,0
"Block 1015, Block Group 1, Census Tract 102, San Francisco County, California",199,3,199,166,1,0,30,0,2,0
"Block 1016, Block Group 1, Census Tract 102, San Francisco County, California",112,6,107,98,0,0,9,0,0,5
"Block 1017, Block Group 1, Census Tract 102, San Francisco County, California",105,10,103,99,2,0,2,0,0,2
"Block 1018, Block Group 1, Census Tract 102, San Francisco County, California",100,3,100,91,1,0,6,0,2,0
"Block 1019, Block Group 1, Census Tract 102, San Francisco County, California",0,0,0,0,0,0,0,0,0,0
"Block 1020, Block Group 1, Census Tract 102, San Francisco County, California",217,5,214,198,3,0,11,2,0,3
"Block 2000, Block Group 2, Census Tract 102, San Francisco County, California",185,11,180,158,2,0,18,0,2,5
"Block 2001, Block Group 2, Census Tract 102, San Francisco County, California",202,10,199,179,2,0,18,0,0,3
"Block 2002, Block Group 2, Census Tract 102, San Francisco County, California",236,11,227,206,3,2,16,0,0,9
"Block 2003, Block Group 2, Census Tract 102, San Francisco County, California",211,6,201,176,0,0,24,0,1,10
"Block 2004, Block Group 2, Census Tract 102, San Francisco County, California",203,15,197,179,1,0,16,0,1,6
"Block 2005, Block Group 2, Census Tract 102, San Francisco County, California",299,17,292,263,2,0,23,1,3,7
"Block 2006, Block Group 2, Census Tract 102, San Francisco County, California",0,0,0,0,0,0,0,0,0,0
"Block 2007, Block Group 2, Census Tract 102, San Francisco County, California",191,11,185,165,2,1,16,0,1,6
"Block 2008, Block Group 2, Census Tract 102, San Francisco County, California",0,0,0,0,0,0,0,0,0,0
"Block 2009, Block Group 2, Census Tract 102, San Francisco County, California",412,25,401,350,4,1,41,2,3,11
"Block 2010, Block Group 2, Census Tract 102, San Francisco County, California",0,0,0,0,0,0,0,0,0,0
"Block 3000, Block Group 3, Census Tract 102, San Francisco County, California",0,0,0,0,0,0,0,0,0,0
"Block 3001, Block Group 3, Census Tract 102, San Francisco County, California",99,3,96,69,0,1,25,1,0,3
"Block 3002, Block Group 3, Census Tract 102, San Francisco County, California",0,0,0,0,0,0,0,0,0,0
"Block 3003, Block Group 3, Census Tract 102, San Francisco County, California",277,21,260,222,1,0,34,0,3,17
"Block 3004, Block Group 3, Census Tract 102, San Francisco County, California",143,4,140,120,1,0,19,0,0,3
"Block 3005, Block Group 3, Census Tract 102, San Francisco County, California",0,0,0,0,0,0,0,0,0,0
"Block 3006, Block Group 3, Census Tract 102, San Francisco County, California",0,0,0,0,0,0,0,0,0,0
"Block 3007, Block Group 3, Census Tract 102, San Francisco County, California",101,2,92,82,1,0,9,0,0,9
"Block 3008, Block Group 3, Census Tract 102, San Francisco County, California",216,8,206,178,1,0,23,0,4,10
"Block 3009, Block Group 3, Census Tract 102, San Francisco County, California",14,2,14,13,0,0,0,0,1,0
"Block 3010, Block Group 3, Census Tract 102, San Francisco County, California",0,0,0,0,0,0,0,0,0,0
"Block 1000, Block Group 1, Census Tract 103, San Francisco County, California",29,0,26,22,0,0,4,0,0,3
"Block 1001, Block Group 1, Census Tract 103, San Francisco County, California",99,3,96,58,0,0,37,0,1,3
"Block 1002, Block Group 1, Census Tract 103, San Francisco County, California",0,0,0,0,0,0,0,0,0,0
"Block 1003, Block Group 1, Census Tract 103, San Francisco County, California",62,4,60,51,0,0,7,0,2,2
"Block 1004, Block Group 1, Census Tract 103, San Francisco County, California",52,3,47,37,0,0,10,0,0,5
"Block 1005, Block Group 1, Census Tract 103, San Francisco County, California",0,0,0,0,0,0,0,0,0,0
"Block 1006, Block Group 1, Census Tract 103, San Francisco County, California",79,7,76,74,0,0,1,0,1,3
"Block 1007, Block Group 1, Census Tract 103, San Francisco County, California",214,11,212,127,2,1,79,0,3,2
"Block 1008, Block Group 1, Census Tract 103, San Francisco County, California",111,16,102,57,7,1,29,2,6,9
"Block 1009, Block Group 1, Census Tract 103, San Francisco County, California",49,3,47,40,0,0,6,0,1,2
"Block 1010, Block Group 1, Census Tract 103, San Francisco County, California",114,5,113,59,0,0,54,0,0,1
"Block 1011, Block Group 1, Census Tract 103, San Francisco County, California",230,23,220,153,3,0,55,1,8,10
"Block 1012, Block Group 1, Census Tract 103, San Francisco County, California",296,4,292,149,0,0,142,0,1,4
"Block 1013, Block Group 1, Census Tract 103, San Francisco County, California",202,5,198,176,3,1,17,0,1,4
"Block 2000, Block Group 2, Census Tract 103, San Francisco County, California",195,16,193,82,0,0,99,1,11,2
"Block 2001, Block Group 2, Census Tract 103, San Francisco County, California",146,12,141,66,5,0,69,0,1,5
"Block 2002, Block Group 2, Census Tract 103, San Francisco County, California",129,1,125,39,2,0,84,0,0,4
"Block 2003, Block Group 2, Census Tract 103, San Francisco County, California",197,9,197,169,1,1,24,0,2,0
"Block 2004, Block Group 2, Census Tract 103, San Francisco County, California",168,9,161,86,1,0,70,0,4,7
"Block 2005, Block Group 2, Census Tract 103, San Francisco County, California",311,13,301,149,0,0,150,0,2,10
"Block 3000, Block Group 3, Census Tract 103, San Francisco County, California",287,16,268,145,1,0,116,0,6,19
"Block 3001, Block Group 3, Census Tract 103, San Francisco County, California",111,3,109,91,0,0,18,0,0,2
"Block 3002, Block Group 3, Census Tract 103, San Francisco County, California",198,14,195,150,3,0,39,0,3,3
"Block 3003, Block Group 3, Census Tract 103, San Francisco County, California",36,0,36,29,0,0,7,0,0,0
"Block 3004, Block Group 3, Census Tract 103, San Francisco County, California",42,2,42,27,0,0,13,0,2,0
"Block 3005, Block Group 3, Census Tract 103, San Francisco County, California",168,4,167,145,5,0,17,0,0,1
"Block 3006, Block Group 3, Census Tract 103, San Francisco County, California",133,6,127,110,1,1,13,0,2,6
"Block 3007, Block Group 3, Census Tract 103, San Francisco County, California",194,9,188,169,2,0,16,0,1,6
"Block 1000, Block Group 1, Census Tract 104, San Francisco County, California",292,15,281,101,2,3,168,0,7,11
"Block 1001, Block Group 1, Census Tract 104, San Francisco County, California",182,3,175,91,5,0,79,0,0,7
"Block 1002, Block Group 1, Census Tract 104, San Francisco County, California",0,0,0,0,0,0,0,0,0,0
"Block 1003, Block Group 1, Census Tract 104, San Francisco County, California",0,0,0,0,0,0,0,0,0,0
"Block 1004, Block Group 1, Census Tract 104, San Francisco County, California",49,1,49,12,0,0,35,0,2,0
"Block 1005, Block Group 1, Census Tract 104, San Francisco County, California",107,6,107,32,1,0,74,0,0,0
"Block 2000, Block Group 2, Census Tract 104, San Francisco County, California",262,24,244,194,0,0,45,0,5,18
"Block 2001, Block Group 2, Census Tract 104, San Francisco County, California",280,10,259,188,4,0,66,0,1,21
"Block 2002, Block Group 2, Census Tract 104, San Francisco County, California",311,12,302,181,2,0,113,1,5,9
"Block 2003, Block Group 2, Census Tract 104, San Francisco County, California",255,17,248,194,5,0,45,0,4,7
"Block 2004, Block Group 2, Census Tract 104, San Francisco County, California",211,7,211,125,5,0,80,0,1,0
"Block 2005, Block Group 2, Census Tract 104, San Francisco County, California",176,16,171,103,2,0,65,0,1,5
"Block 2006, Block Group 2, Census Tract 104, San Francisco County, California",130,4,125,68,1,0,55,0,1,5
"Block 2007, Block Group 2, Census Tract 104, San Francisco County, California",27,2,26,19,0,0,3,0,4,1
"Block 3000, Block Group 3, Census Tract 104, San Francisco County, California",302,8,296,203,8,0,82,0,3,6
"Block 3001, Block Group 3, Census Tract 104, San Francisco County, California",69,0,64,57,0,0,7,0,0,5
"Block 3002, Block Group 3, Census Tract 104, San Francisco County, California",141,11,129,121,2,0,5,0,1,12
"Block 3003, Block Group 3, Census Tract 104, San Francisco County, California",3,1,3,2,0,0,0,0,1,0
"Block 3004, Block Group 3, Census Tract 104, San Francisco County, California",0,0,0,0,0,0,0,0,0,0
"Block 3005, Block Group 3, Census Tract 104, San Francisco County, California",67,3,65,56,0,0,4,4,1,2
"Block 3006, Block Group 3, Census Tract 104, San Francisco County, California",110,2,109,104,0,1,3,1,0,1
"Block 3007, Block Group 3, Census Tract 104, San Francisco County, California",69,3,67,63,2,0,2,0,0,2
"Block 3008, Block Group 3, Census Tract 104, San Francisco County, California",0,0,0,0,0,0,0,0,0,0
"Block 3009, Block Group 3, Census Tract 104, San Francisco County, California",24,0,24,20,0,0,4,0,0,0
"Block 3010, Block Group 3, Census Tract 104, San Francisco County, California",93,6,90,69,0,0,18,0,3,3
"Block 3011, Block Group 3, Census Tract 104, San Francisco County, California",88,8,88,73,0,0,15,0,0,0
"Block 3012, Block Group 3, Census Tract 104, San Francisco County, California",189,12,183,117,0,0,65,1,0,6
"Block 3013, Block Group 3, Census Tract 104, San Francisco County, California",232,18,226,186,2,0,37,0,1,6
"Block 3014, Block Group 3, Census Tract 104, San Francisco County, California",62,3,59,53,0,0,6,0,0,3
"Block 4000, Block Group 4, Census Tract 104, San Francisco County, California",75,4,73,67,1,0,4,0,1,2
"Block 4001, Block Group 4, Census Tract 104, San Francisco County, California",114,4,111,89,0,0,22,0,0,3
"Block 4002, Block Group 4, Census Tract 104, San Francisco County, California",164,9,159,95,3,0,61,0,0,5
"Block 4003, Block Group 4, Census Tract 104, San Francisco County, California",310,22,304,222,0,0,69,0,13,6
"Block 4004, Block Group 4, Census Tract 104, San Francisco County, California",151,8,148,109,1,0,38,0,0,3
"Block 1000, Block Group 1, Census Tract 105, San Francisco County, California",0,0,0,0,0,0,0,0,0,0
"Block 1001, Block Group 1, Census Tract 105, San Francisco County, California",0,0,0,0,0,0,0,0,0,0
"Block 1002, Block Group 1, Census Tract 105, San Francisco County, California",0,0,0,0,0,0,0,0,0,0
"Block 1003, Block Group 1, Census Tract 105, San Francisco County, California",0,0,0,0,0,0,0,0,0,0
"Block 1004, Block Group 1, Census Tract 105, San Francisco County, California",0,0,0,0,0,0,0,0,0,0
"Block 1005, Block Group 1, Census Tract 105, San Francisco County, California",1,1,1,0,0,0,0,0,1,0
"Block 1006, Block Group 1, Census Tract 105, San Francisco County, California",262,9,254,208,1,0,43,0,2,8
"Block 1007, Block Group 1, Census Tract 105, San Francisco County, California",242,9,240,188,3,0,45,0,4,2
"Block 1008, Block Group 1, Census Tract 105, San Francisco County, California",0,0,0,0,0,0,0,0,0,0
"Block 1009, Block Group 1, Census Tract 105, San Francisco County, California",1,1,1,1,0,0,0,0,0,0
"Block 1010, Block Group 1, Census Tract 105, San Francisco County, California",0,0,0,0,0,0,0,0,0,0
"Block 1011, Block Group 1, Census Tract 105, San Francisco County, California",0,0,0,0,0,0,0,0,0,0
"Block 1012, Block Group 1, Census Tract 105, San Francisco County, California",1,0,1,1,0,0,0,0,0,0
"Block 1013, Block Group 1, Census Tract 105, San Francisco County, California",0,0,0,0,0,0,0,0,0,0
"Block 1014, Block Group 1, Census Tract 105, San Francisco County, California",0,0,0,0,0,0,0,0,0,0
"Block 1015, Block Group 1, Census Tract 105, San Francisco County, California",0,0,0,0,0,0,0,0,0,0
"Block 1016, Block Group 1, Census Tract 105, San Francisco County, California",0,0,0,0,0,0,0,0,0,0
"Block 1017, Block Group 1, Census Tract 105, San Francisco County, California",0,0,0,0,0,0,0,0,0,0
"Block 1018, Block Group 1, Census Tract 105, San Francisco County, California",0,0,0,0,0,0,0,0,0,0
"Block 1019, Block Group 1, Census Tract 105, San Francisco County, California",1,0,1,1,0,0,0,0,0,0
"Block 1020, Block Group 1, Census Tract 105, San Francisco County, California",0,0,0,0,0,0,0,0,0,0
"Block 1021, Block Group 1, Census Tract 105, San Francisco County, California",0,0,0,0,0,0,0,0,0,0
"Block 1022, Block Group 1, Census Tract 105, San Francisco County, California",257,33,250,27,5,0,207,0,11,7
"Block 1023, Block Group 1, Census Tract 105, San Francisco County, California",0,0,0,0,0,0,0,0,0,0
"Block 1024, Block Group 1, Census Tract 105, San Francisco County, California",32,6,30,23,3,0,2,0,2,2
"Block 1025, Block Group 1, Census Tract 105, San Francisco County, California",147,12,145,72,5,0,65,0,3,2
"Block 1026, Block Group 1, Census Tract 105, San Francisco County, California",0,0,0,0,0,0,0,0,0,0
"Block 1027, Block Group 1, Census Tract 105, San Francisco County, California",0,0,0,0,0,0,0,0,0,0
"Block 2000, Block Group 2, Census Tract 105, San Francisco County, California",0,0,0,0,0,0,0,0,0,0
"Block 2001, Block Group 2, Census Tract 105, San Francisco County, California",0,0,0,0,0,0,0,0,0,0
"Block 2002, Block Group 2, Census Tract 105, San Francisco County, California",0,0,0,0,0,0,0,0,0,0
"Block 2003, Block Group 2, Census Tract 105, San Francisco County, California",0,0,0,0,0,0,0,0,0,0
"Block 2004, Block Group 2, Census Tract 105, San Francisco County, California",145,6,142,103,2,0,37,0,0,3
"Block 2005, Block Group 2, Census Tract 105, San Francisco County, California",57,0,57,37,0,0,20,0,0,0
"Block 2006, Block Group 2, Census Tract 105, San Francisco County, California",0,0,0,0,0,0,0,0,0,0
"Block 2007, Block Group 2, Census Tract 105, San Francisco County, California",2,0,2,2,0,0,0,0,0,0
"Block 2008, Block Group 2, Census Tract 105, San Francisco County, California",461,25,449,321,13,0,111,0,4,12
"Block 2009, Block Group 2, Census Tract 105, San Francisco County, California",21,5,21,15,0,0,5,1,0,0
"Block 2010, Block Group 2, Census Tract 105, San Francisco County, California",1,0,1,0,1,0,0,0,0,0
"Block 2011, Block Group 2, Census Tract 105, San Francisco County, California",2,0,2,1,0,0,1,0,0,0
"Block 2012, Block Group 2, Census Tract 105, San Francisco County, California",1037,47,1014,746,12,2,241,0,13,23
"Block 2013, Block Group 2, Census Tract 105, San Francisco County, California",1,0,1,1,0,0,0,0,0,0
"Block 2014, Block Group 2, Census Tract 105, San Francisco County, California",1,0,1,1,0,0,0,0,0,0
"Block 2015, Block Group 2, Census Tract 105, San Francisco County, California",3,0,3,2,0,0,0,1,0,0
"Block 2016, Block Group 2, Census Tract 105, San Francisco County, California",2,0,2,1,0,0,1,0,0,0
"Block 2017, Block Group 2, Census Tract 105, San Francisco County, California",0,0,0,0,0,0,0,0,0,0
"Block 2018, Block Group 2, Census Tract 105, San Francisco County, California",6,1,6,4,1,1,0,0,0,0
"Block 2019, Block Group 2, Census Tract 105, San Francisco County, California",0,0,0,0,0,0,0,0,0,0
"Block 2020, Block Group 2, Census Tract 105, San Francisco County, California",2,0,1,1,0,0,0,0,0,1
"Block 2021, Block Group 2, Census Tract 105, San Francisco County, California",0,0,0,0,0,0,0,0,0,0
"Block 1000, Block Group 1, Census Tract 106, San Francisco County, California",78,3,76,65,1,1,8,0,1,2
"Block 1001, Block Group 1, Census Tract 106, San Francisco County, California",98,5,94,61,3,0,29,0,1,4
"Block 1002, Block Group 1, Census Tract 106, San Francisco County, California",225,8,215,105,0,0,108,1,1,10
"Block 1003, Block Group 1, Census Tract 106, San Francisco County, California",199,8,190,72,3,1,112,0,2,9
"Block 1004, Block Group 1, Census Tract 106, San Francisco County, California",157,14,152,50,1,0,100,0,1,5
"Block 1005, Block Group 1, Census Tract 106, San Francisco County, California",120,4,120,48,0,0,72,0,0,0
"Block 1006, Block Group 1, Census Tract 106, San Francisco County, California",315,10,306,158,5,0,143,0,0,9
"Block 1007, Block Group 1, Census Tract 106, San Francisco County, California",73,7,70,52,0,1,12,0,5,3
"Block 2000, Block Group 2, Census Tract 106, San Francisco County, California",98,4,93,38,2,0,51,0,2,5
"Block 2001, Block Group 2, Census Tract 106, San Francisco County, California",98,6,94,28,0,0,65,0,1,4
"Block 2002, Block Group 2, Census Tract 106, San Francisco County, California",352,33,337,201,20,1,101,0,14,15
"Block 2003, Block Group 2, Census Tract 106, San Francisco County, California",75,3,72,18,2,0,50,0,2,3
"Block 2004, Block Group 2, Census Tract 106, San Francisco County, California",178,9,172,45,2,0,123,0,2,6
"Block 2005, Block Group 2, Census Tract 106, San Francisco County, California",145,36,141,32,2,0,78,0,29,4
"Block 2006, Block Group 2, Census Tract 106, San Francisco County, California",139,3,139,4,1,0,134,0,0,0
"Block 2007, Block Group 2, Census Tract 106, San Francisco County, California",176,1,174,6,0,0,168,0,0,2
"Block 2008, Block Group 2, Census Tract 106, San Francisco County, California",0,0,0,0,0,0,0,0,0,0
"Block 3000, Block Group 3, Census Tract 106, San Francisco County, California",236,3,234,49,2,0,181,0,2,2
"Block 3001, Block Group 3, Census Tract 106, San Francisco County, California",143,11,136,69,1,0,64,0,2,7
"Block 3002, Block Group 3, Census Tract 106, San Francisco County, California",0,0,0,0,0,0,0,0,0,0
"Block 3003, Block Group 3, Census Tract 106, San Francisco County, California",2,0,2,1,0,0,1,0,0,0
"Block 3004, Block Group 3, Census Tract 106, San Francisco County, California",158,5,152,75,2,0,73,0,2,6
"Block 3005, Block Group 3, Census Tract 106, San Francisco County, California",209,6,203,39,1,0,162,0,1,6
"Block 3006, Block Group 3, Census Tract 106, San Francisco County, California",70,2,66,17,0,0,48,0,1,4
"Block 3007, Block Group 3, Census Tract 106, San Francisco County, California",162,6,159,43,1,0,115,0,0,3
"Block 3008, Block Group 3, Census Tract 106, San Francisco County, California",89,28,87,23,0,0,51,0,13,2
"Block 3009, Block Group 3, Census Tract 106, San Francisco County, California",40,4,39,13,0,0,24,0,2,1
"Block 3010, Block Group 3, Census Tract 106, San Francisco County, California",179,30,172,61,6,0,90,0,15,7
"Block 3011, Block Group 3, Census Tract 106, San Francisco County, California",80,5,80,64,4,2,6,0,4,0
"Block 1000, Block Group 1, Census Tract 107, San Francisco County, California",0,0,0,0,0,0,0,0,0,0
"Block 1001, Block Group 1, Census Tract 107, San Francisco County, California",66,6,66,46,0,0,18,1,1,0
"Block 1002, Block Group 1, Census Tract 107, San Francisco County, California",61,0,61,26,0,1,34,0,0,0
"Block 1003, Block Group 1, Census Tract 107, San Francisco County, California",208,12,203,99,2,0,96,0,6,5
"Block 1004, Block Group 1, Census Tract 107, San Francisco County, California",1,0,1,0,1,0,0,0,0,0
"Block 1005, Block Group 1, Census Tract 107, San Francisco County, California",205,28,199,124,5,2,53,0,15,6
"Block 1006, Block Group 1, Census Tract 107, San Francisco County, California",164,9,158,69,0,0,87,0,2,6
"Block 1007, Block Group 1, Census Tract 107, San Francisco County, California",166,6,162,96,2,0,62,0,2,4
"Block 2000, Block Group 2, Census Tract 107, San Francisco County, California",34,11,31,2,0,0,21,0,8,3
"Block 2001, Block Group 2, Census Tract 107, San Francisco County, California",398,7,395,60,4,0,329,0,2,3
"Block 2002, Block Group 2, Census Tract 107, San Francisco County, California",448,19,433,122,2,2,303,0,4,15
"Block 2003, Block Group 2, Census Tract 107, San Francisco County, California",395,6,388,64,2,0,321,0,1,7
"Block 3000, Block Group 3, Census Tract 107, San Francisco County, California",0,0,0,0,0,0,0,0,0,0
"Block 3001, Block Group 3, Census Tract 107, San Francisco County, California",38,4,38,8,0,0,30,0,0,0
"Block 3002, Block Group 3, Census Tract 107, San Francisco County, California",209,0,209,0,0,0,209,0,0,0
"Block 3003, Block Group 3, Census Tract 107, San Francisco County, California",363,0,355,8,2,0,345,0,0,8
"Block 3004, Block Group 3, Census Tract 107, San Francisco County, California",510,24,495,20,40,2,430,0,3,15
"Block 3005, Block Group 3, Census Tract 107, San Francisco County, California",92,2,91,4,0,0,87,0,0,1
"Block 3006, Block Group 3, Census Tract 107, San Francisco County, California",200,2,197,20,0,0,176,0,1,3
"Block 3007, Block Group 3, Census Tract 107, San Francisco County, California",0,0,0,0,0,0,0,0,0,0
"Block 3008, Block Group 3, Census Tract 107, San Francisco County, California",36,0,36,3,0,0,33,0,0,0
"Block 3009, Block Group 3, Census Tract 107, San Francisco County, California",224,2,222,42,16,0,164,0,0,2
"Block 4000, Block Group 4, Census Tract 107, San Francisco County, California",727,14,717,40,3,5,664,0,5,10
"Block 4001, Block Group 4, Census Tract 107, San Francisco County, California",768,13,764,51,5,0,704,1,3,4
"Block 4002, Block Group 4, Census Tract 107, San Francisco County, California",279,2,279,4,1,0,274,0,0,0
"Block 1000, Block Group 1, Census Tract 108, San Francisco County, California",157,2,155,127,4,0,24,0,0,2
"Block 1001, Block Group 1, Census Tract 108, San Francisco County, California",293,8,288,252,0,0,32,0,4,5
"Block 1002, Block Group 1, Census Tract 108, San Francisco County, California",153,2,153,108,5,0,40,0,0,0
"Block 1003, Block Group 1, Census Tract 108, San Francisco County, California",123,1,114,83,0,0,30,0,1,9
"Block 1004, Block Group 1, Census Tract 108, San Francisco County, California",155,6,153,75,4,1,73,0,0,2
"Block 1005, Block Group 1, Census Tract 108, San Francisco County, California",318,9,309,149,3,0,155,0,2,9
"Block 2000, Block Group 2, Census Tract 108, San Francisco County, California",0,0,0,0,0,0,0,0,0,0
"Block 2001, Block Group 2, Census Tract 108, San Francisco County, California",0,0,0,0,0,0,0,0,0,0
"Block 2002, Block Group 2, Census Tract 108, San Francisco County, California",18,0,18,17,0,0,1,0,0,0
"Block 2003, Block Group 2, Census Tract 108, San Francisco County, California",68,5,68,61,2,0,3,0,2,0
"Block 2004, Block Group 2, Census Tract 108, San Francisco County, California",109,5,106,59,1,0,45,0,1,3
"Block 2005, Block Group 2, Census Tract 108, San Francisco County, California",115,7,109,61,2,0,44,0,2,6
"Block 2006, Block Group 2, Census Tract 108, San Francisco County, California",385,8,382,25,0,0,357,0,0,3
"Block 2007, Block Group 2, Census Tract 108, San Francisco County, California",71,6,71,40,0,1,25,0,5,0
